company,price,change
Microsoft Corporation (MSFT),411.22,
International Business Machines Corporation (IBM),185.79,
General Electric Company (GE),136.54,
Union Pacific Corporation (UNP),248.33,
Costco Wholesale Corporation (COST),709.48,
McDonald's Corporation (MCD),297.05,
Visa Inc. (V),277.18,
Walmart Inc. (WMT),169.57,
The Walt Disney Company (DIS),97.13,
3M Company (MMM),94.87,
Intel Corporation (INTC),42.60,
American Express Company (AXP),206.41,
Apple Inc. (AAPL),185.85,
The Boeing Company (BA),209.38,
"Cisco Systems, Inc. (CSCO)",50.18,
"The Goldman Sachs Group, Inc. (GS)",387.86,
JPMorgan Chase & Co. (JPM),174.73,
"Salesforce, Inc. (CRM)",285.66,
Verizon Communications Inc. (VZ),42.13,
